id;data_hora;cpu;disco
010101;2026-09-08 15:32:14;2.0;8.0
010101;2026-09-08 15:32:16;4.9;8.0
010101;2026-09-08 15:32:18;5.7;8.0
010101;2026-09-08 15:32:20;4.9;8.0
010101;2026-09-08 15:32:22;2.4;8.0
010101;2026-09-08 15:32:24;3.8;8.0
010101;2026-09-08 15:32:26;4.6;8.0
010101;2026-09-08 15:32:28;2.3;8.0
010101;2026-09-08 15:32:30;4.2;8.0
010101;2026-09-08 15:32:32;2.4;8.0
010101;2026-09-09 10:00:33;2.7;8.0
010101;2026-09-09 10:00:35;7.4;8.0
010101;2026-09-09 10:00:37;6.1;8.0
010101;2026-09-09 10:00:39;6.0;8.0
010101;2026-09-09 10:00:41;4.9;8.0
010101;2026-09-09 10:00:43;10.7;8.0
010101;2026-09-09 10:00:45;7.6;8.0
010101;2026-09-09 10:00:47;6.0;8.0
010101;2026-09-09 10:00:49;2.9;8.0
010101;2026-09-09 10:00:51;7.3;8.0
010101;2026-09-09 10:02:31;1.5;8.0
010101;2026-09-09 10:02:33;1.1;8.0
010101;2026-09-09 10:02:35;0.8;8.0
010101;2026-09-09 10:02:37;1.1;8.0
010101;2026-09-09 10:02:39;0.4;8.0
010101;2026-09-09 10:02:41;1.3;8.0
010101;2026-09-09 10:02:43;0.8;8.0
010101;2026-09-09 10:02:45;0.9;8.0
010101;2026-09-09 10:02:47;1.2;8.0
010101;2026-09-09 10:02:49;0.4;8.0
